"","Beer","Beer_ID","ABV","IBU","Brewery_id","Style","Ounces","Brewery","City","state"
"239","Original Orange Blossom Ale (Current)",27,0.058,35,531,"Herbed / Spiced Beer",16,"Buckbean Brewing Company","Reno","NV"
"240","Black Noddy Lager (Current)",26,0.052,40,531,"Schwarzbier",16,"Buckbean Brewing Company","Reno","NV"
"241","1836",2125,0.06,40,215,"American Blonde Ale",12,"Buffalo Bayou Brewing Company","Houston","TX"
"242","Summer's Wit",2124,0.06,20,215,"Witbier",12,"Buffalo Bayou Brewing Company","Houston","TX"
"243","More Cowbell",2123,0.09,118,215,"American Double / Imperial IPA",16,"Buffalo Bayou Brewing Company","Houston","TX"
"244","Pale Alement",2478,0.055,40,25,"American Pale Ale (APA)",12,"Burn 'Em Brewing","Michigan City","IN"
"245","Hopkick Dropkick",2471,0.099,115,25,"American Double / Imperial IPA",12,"Burn 'Em Brewing","Michigan City","IN"
"246","Joey Wheat",2160,0.068,16,25,"American Pale Wheat Ale",16,"Burn 'Em Brewing","Michigan City","IN"
"247","3:33 Black IPA",2158,0.072,86,25,"American IPA",16,"Burn 'Em Brewing","Michigan City","IN"
"248","Pale Alement",2054,0.055,40,25,"American Pale Ale (APA)",16,"Burn 'Em Brewing","Michigan City","IN"
"249","Couch Select Lager",2196,0.05,14,198,"American Pale Lager",12,"Burnside Brewing Co.","Portland","OR"
"250","Mucho Aloha Hawaiian Pale Ale",668,0.056,36,518,"American Pale Ale (APA)",12,"Butcher's Brewing","Carlsbad","CA"
"251","Horny Toad Cerveza",2214,0.053,25,183,"American Blonde Ale",16,"COOP Ale Works","Oklahoma City","OK"
"252","Native Amber",2213,0.063,35,183,"American Amber / Red Ale",16,"COOP Ale Works","Oklahoma City","OK"
"253","F5 IPA",1442,0.068,100,183,"American IPA",16,"COOP Ale Works","Oklahoma City","OK"
"254","Native Amber (2013)",170,0.063,35,183,"American Amber / Red Ale",16,"COOP Ale Works","Oklahoma City","OK"
"255","Horny Toad Cerveza (2013)",169,0.053,25,183,"American Blonde Ale",16,"COOP Ale Works","Oklahoma City","OK"
"256","Hopportunity Knocks IPA",2315,0.068,100,156,"American IPA",12,"Caldera Brewing Company","Ashland","OR"
"257","Caldera Pale Ale",1419,0.056,55,156,"American Pale Ale (APA)",12,"Caldera Brewing Company","Ashland","OR"
"258","Lawnmower Lager",878,0.039,16,156,"American Adjunct Lager",12,"Caldera Brewing Company","Ashland","OR"
"259","Ashland Amber Ale (2009)",794,0.054,24,156,"American Amber / Red Ale",12,"Caldera Brewing Company","Ashland","OR"
"260","Caldera IPA (2009)",793,0.061,94,156,"American IPA",12,"Caldera Brewing Company","Ashland","OR"
"261","Caldera IPA (2007)",792,0.061,94,156,"American IPA",12,"Caldera Brewing Company","Ashland","OR"
"262","Caldera Pale Ale (2010)",791,0.056,55,156,"American Pale Ale (APA)",12,"Caldera Brewing Company","Ashland","OR"
"263","Caldera Pale Ale (2009)",790,0.056,55,156,"American Pale Ale (APA)",12,"Caldera Brewing Company","Ashland","OR"
"264","Caldera Pale Ale (2005)",789,0.056,55,156,"American Pale Ale (APA)",12,"Caldera Brewing Company","Ashland","OR"
"265","Caldera Pale Ale (2007)",788,0.056,55,156,"American Pale Ale (APA)",12,"Caldera Brewing Company","Ashland","OR"
"266","Caldera Pale Ale (2011)",38,0.056,55,156,"American Pale Ale (APA)",12,"Caldera Brewing Company","Ashland","OR"
"267","Ashland Amber Ale",37,0.054,24,156,"American Amber / Red Ale",12,"Caldera Brewing Company","Ashland","OR"
"268","Caldera IPA",36,0.061,94,156,"American IPA",12,"Caldera Brewing Company","Ashland","OR"
"269","Imperial Pumpkin Stout",2068,0.099,43,231,"Pumpkin Ale",16,"Cape Ann Brewing Company","Gloucester","MA"
"270","Dead-Eye DIPA",2067,0.09,130,231,"American Double / Imperial IPA",16,"Cape Ann Brewing Company","Gloucester","MA"
"271","Fisherman's IPA",2066,0.055,64,231,"American IPA",12,"Cape Ann Brewing Company","Gloucester","MA"
"272","Fisherman's Pils",2065,0.054,35,231,"German Pilsener",12,"Cape Ann Brewing Company","Gloucester","MA"
"273","Fisherman's Brew",2064,0.055,30,231,"American Amber / Red Ale",12,"Cape Ann Brewing Company","Gloucester","MA"
"274","Cape Cod Red",1928,0.055,35,268,"American Amber / Red Ale",16,"Cape Cod Beer","Hyannis","MA"
"275","Beach Blonde",1927,0.049,10,268,"American Blonde Ale",16,"Cape Cod Beer","Hyannis","MA"
"276","Dark Voyage Black IPA (2013)",2227,0.065,80,193,"American Black Ale",12,"Capital Brewery","Middleton","WI"
"277","Wisconsin Amber",2226,0.052,28,193,"Vienna Lager",12,"Capital Brewery","Middleton","WI"
"278","Lake House",2225,0.046,18,193,"Munich Helles Lager",12,"Capital Brewery","Middleton","WI"
"279","Ghost Ship White IPA",1954,0.056,55,193,"American IPA",12,"Capital Brewery","Middleton","WI"
"280","Lake House",1910,0.046,18,193,"Munich Helles Lager",16,"Capital Brewery","Middleton","WI"
"281","Mutiny IPA",1177,0.062,70,193,"American IPA",12,"Capital Brewery","Middleton","WI"
"282","Santa's Secret",2255,0.059,22,180,"Winter Warmer",16,"Carolina Brewery","Pittsboro","NC"
"283","Epitome",2094,0.099,100,223,"American Black Ale",16,"Carton Brewing Company","Atlantic Highlands","NJ"
"284","Monkey Chased the Weasel",1941,0.039,9,223,"Berliner Weissbier",16,"Carton Brewing Company","Atlantic Highlands","NJ"
"285","077XX",1940,0.078,80,223,"American Double / Imperial IPA",16,"Carton Brewing Company","Atlantic Highlands","NJ"
"286","Boat Beer",1439,0.042,35,223,"American IPA",12,"Carton Brewing Company","Atlantic Highlands","NJ"
"287","Whitecap Wit",1882,0.048,16,286,"Witbier",16,"Catawba Island Brewing","Port Clinton","OH"
"288","Seiche Scottish Ale",1881,0.078,16,286,"Scottish Ale",16,"Catawba Island Brewing","Port Clinton","OH"
"289","Gone A-Rye",2600,0.085,90,30,"American Double / Imperial IPA",16,"Cedar Creek Brewery","Seven Points","TX"
"290","Dankosaurus",2052,0.068,70,30,"American IPA",16,"Cedar Creek Brewery","Seven Points","TX"
"291","Scruffy's Smoked Alt",1584,0.051,35,30,"Smoked Beer",16,"Cedar Creek Brewery","Seven Points","TX"
"292","Elliott's Phoned Home Pale Ale",1182,0.051,36,30,"American Pale Ale (APA)",16,"Cedar Creek Brewery","Seven Points","TX"
"293","The Lawn Ranger",1050,0.05,18,30,"Cream Ale",16,"Cedar Creek Brewery","Seven Points","TX"
"294","Main St. Virginia Ale",2377,0.05,40,123,"Altbier",12,"Center of the Universe Brewing C...","Ashland","VA"
"295","Chin Music Amber Lager",1839,0.045,24,123,"American Amber / Red Lager",12,"Center of the Universe Brewing C...","Ashland","VA"
"296","Main St. Virginia Ale",1248,0.05,40,123,"Altbier",12,"Center of the Universe Brewing C...","Ashland","VA"
"297","Ray Ray’s Pale Ale",1247,0.052,42,123,"American Pale Ale (APA)",12,"Center of the Universe Brewing C...","Ashland","VA"
"298","Chai Ale",1649,0.051,15,351,"Herbed / Spiced Beer",16,"Central Coast Brewing Company","San Luis Obispo","CA"
"299","Lucky Day IPA",1648,0.072,85,351,"American IPA",16,"Central Coast Brewing Company","San Luis Obispo","CA"
"300","Terrace Hill Double IPA",1647,0.095,99,351,"American Double / Imperial IPA",16,"Central Coast Brewing Company","San Luis Obispo","CA"
"301","Catch 23",1646,0.075,77,351,"American Black Ale",16,"Central Coast Brewing Company","San Luis Obispo","CA"
"302","Black Me Stout",2056,0.06,45,237,"American Stout",12,"Champion Brewing Company","Charlottesville","VA"
"303","Killer Kolsch",2055,0.05,22,237,"Kölsch",12,"Champion Brewing Company","Charlottesville","VA"
"304","Missile IPA",1933,0.07,65,237,"American IPA",12,"Champion Brewing Company","Charlottesville","VA"
"305","Ale Cider",2018,0.065,8,251,"Fruit / Vegetable Beer",16,"Chapman's Brewing","Angola","IN"
"306","Pail Ale",2017,0.055,30,251,"American Pale Ale (APA)",16,"Chapman's Brewing","Angola","IN"
"307","8 Barrel",2080,0.08,69,227,"American Strong Ale",16,"Chatham Brewing","Chatham","NY"
"308","Oktoberfest",2079,0.055,40,227,"Märzen / Oktoberfest",16,"Chatham Brewing","Chatham","NY"
"309","IPA #11",2380,0.057,58,122,"American IPA",16,"Cheboygan Brewing Company","Cheboygan","MI"
"310","Blood Orange Honey",2379,0.057,10,122,"Fruit / Vegetable Beer",16,"Cheboygan Brewing Company","Cheboygan","MI"
"311","Bay of Bengal Double IPA (2014)",2440,0.089,126,100,"American Double / Imperial IPA",12,"Christian Moerlein Brewing Company","Cincinnati","OH"
"312","Churchkey Pilsner Style Beer",567,0.049,29,527,"American Pilsner",12,"Churchkey Can Company","Seattle","WA"
"313","Cubano Espresso",2349,0.055,25,142,"Bock",12,"Cigar City Brewing Company","Tampa","FL"
"314","Operation Homefront",2014,0.062,65,142,"American IPA",12,"Cigar City Brewing Company","Tampa","FL"
"315","Wandering Pelican",2013,0.082,65,142,"American Black Ale",12,"Cigar City Brewing Company","Tampa","FL"
"316","Hopped on the High Seas (Hop #529)",1726,0.07,60,142,"American IPA",12,"Cigar City Brewing Company","Tampa","FL"
"317","Hopped on the High Seas (Calypso)",1725,0.07,60,142,"American IPA",12,"Cigar City Brewing Company","Tampa","FL"
"318","Dry-Hopped On The High Seas Caribbean-Style IPA",1694,0.07,60,142,"American IPA",12,"Cigar City Brewing Company","Tampa","FL"
"319","Hopped on the High Seas (Citra)",1693,0.07,60,142,"American IPA",12,"Cigar City Brewing Company","Tampa","FL"
"320","Hopped on the High Seas (Ahtanum)",1692,0.07,60,142,"American IPA",12,"Cigar City Brewing Company","Tampa","FL"
"321","Humidor Series India Pale Ale",1142,0.075,70,142,"American IPA",12,"Cigar City Brewing Company","Tampa","FL"
"322","Jai Alai IPA Aged on White Oak",1141,0.075,70,142,"American IPA",12,"Cigar City Brewing Company","Tampa","FL"
"323","José Martí American Porter",1140,0.08,65,142,"American Porter",12,"Cigar City Brewing Company","Tampa","FL"
"324","Maduro Brown Ale",1138,0.055,25,142,"English Brown Ale",12,"Cigar City Brewing Company","Tampa","FL"
"325","Maduro Brown Ale",571,0.055,25,142,"American Brown Ale",12,"Cigar City Brewing Company","Tampa","FL"
"326","Tocobaga Red Ale",569,0.072,75,142,"American Amber / Red Ale",12,"Cigar City Brewing Company","Tampa","FL"
"327","Jai Alai IPA",546,0.075,70,142,"American IPA",12,"Cigar City Brewing Company","Tampa","FL"
"328","Florida Cracker Belgian Wit",545,0.05,18,142,"Witbier",12,"Cigar City Brewing Company","Tampa","FL"
"329","Jacaranada Rye IPA",1772,0.067,60,321,"American IPA",16,"Claremont Craft Ales","Claremont","CA"
"330","Cascadian Dark Ale",1393,0.06,75,419,"American Black Ale",12,"Coalition Brewing Company","Portland","OR"
"331","Wheat the People",893,0.044,13,419,"American Pale Wheat Ale",16,"Coalition Brewing Company","Portland","OR"
"332","Tybee Island Blonde",1407,0.047,17,416,"American Blonde Ale",12,"Coastal Empire Beer Company","Savannah","GA"
"333","Savannah Brown Ale",1406,0.062,55,416,"American Brown Ale",12,"Coastal Empire Beer Company","Savannah","GA"
"334","Rhode Island Blueberry",2438,0.046,11,102,"Kölsch",12,"Coastal Extreme Brewing Company","Newport","RI"
"335","Newport Storm IPA",2437,0.065,75,102,"American IPA",12,"Coastal Extreme Brewing Company","Newport","RI"
"336","Hurricane Amber Ale (2004)",751,0.052,24,102,"American Amber / Red Ale",12,"Coastal Extreme Brewing Company","Newport","RI"
"337","Hurricane Amber Ale",120,0.052,24,102,"American Amber / Red Ale",12,"Coastal Extreme Brewing Company","Newport","RI"
"338","Des Moines IPA",970,0.068,75,483,"American IPA",16,"Confluence Brewing Company","Des Moines","IA"
"339","Capital Gold Golden Lager",969,0.048,22,483,"German Pilsener",16,"Confluence Brewing Company","Des Moines","IA"
"340","Farmer John's Multi-Grain Ale",968,0.056,21,483,"American Blonde Ale",16,"Confluence Brewing Company","Des Moines","IA"
"341","Crabtree Oatmeal Stout",659,0.075,29,516,"Oatmeal Stout",16,"Crabtree Brewing Company","Greeley","CO"
"342","Eclipse Black IPA",556,0.077,71,516,"American Black Ale",16,"Crabtree Brewing Company","Greeley","CO"
"343","Neomexicanus Native",2538,0.06,46,64,"American Pale Ale (APA)",12,"Crazy Mountain Brewing Company","Edwards","CO"
"344","Old Soul",2355,0.075,25,64,"Belgian Strong Pale Ale",12,"Crazy Mountain Brewing Company","Edwards","CO"
"345","Lava Lake Wit",685,0.052,15,64,"Witbier",12,"Crazy Mountain Brewing Company","Edwards","CO"
"346","Crazy Mountain Amber Ale",356,0.052,25,64,"American Amber / Red Ale",12,"Crazy Mountain Brewing Company","Edwards","CO"
"347","Tropicalia",2029,0.065,65,248,"American IPA",12,"Creature Comforts","Athens","GA"
"348","Aviator Raspberry Blonde",2293,0.049,25,170,"American Blonde Ale",12,"Crooked Fence Brewing Company","Garden City","ID"
"349","South Ridge Amber Ale",1057,0.06,31,473,"American Amber / Red Ale",16,"Crystal Springs Brewing Company","Boulder","CO"
"350","Summertime Ale",681,0.052,23,473,"Kölsch",16,"Crystal Springs Brewing Company","Boulder","CO"
"351","The Tradition",1809,0.05,15,228,"American Blonde Ale",12,"DC Brau Brewing Company","Washington","DC"
"352","El Hefe Speaks",1263,0.053,11,228,"Hefeweizen",12,"DC Brau Brewing Company","Washington","DC"
"353","On the Wings of Armageddon",851,0.092,115,228,"American Double / Imperial IPA",12,"DC Brau Brewing Company","Washington","DC"
"354","The Corruption",186,0.065,80,228,"American IPA",12,"DC Brau Brewing Company","Washington","DC"
"355","Dead Armadillo Amber Ale",1746,0.063,37,331,"American Amber / Red Ale",12,"Dead Armadillo Craft Brewing","Tulsa","OK"
"356","Oak Cliff Coffee Ale",2251,0.075,33,128,"American Brown Ale",12,"Deep Ellum Brewing Company","Dallas","TX"
"357","Dream Crusher Double IPA",2166,0.085,100,128,"American Double / Imperial IPA",12,"Deep Ellum Brewing Company","Dallas","TX"
"358","Farmhouse Wit",1202,0.048,25,128,"Saison / Farmhouse Ale",16,"Deep Ellum Brewing Company","Dallas","TX"
"359","Dallas Blonde",946,0.052,23,128,"American Blonde Ale",12,"Deep Ellum Brewing Company","Dallas","TX"
"360","Deep Ellum IPA",943,0.07,70,128,"American IPA",12,"Deep Ellum Brewing Company","Dallas","TX"
"361","Thrasher Session India Pale Ale",1886,0.045,44,284,"American IPA",12,"Defiance Brewing Company","Hays","KS"
"362","Gutch English Style Mild Ale",1885,0.05,16,284,"English Pale Mild Ale",12,"Defiance Brewing Company","Hays","KS"
"363","Chuli Stout",1213,0.059,55,454,"Irish Dry Stout",12,"Denali Brewing Company","Talkeetna","AK"
"364","Mother Ale",1159,0.056,46,454,"American Blonde Ale",12,"Denali Brewing Company","Talkeetna","AK"
"365","Twister Creek India Pale Ale",947,0.065,71,454,"American IPA",12,"Denali Brewing Company","Talkeetna","AK"
"366","Single Engine Red",929,0.058,46,454,"Irish Red Ale",12,"Denali Brewing Company","Talkeetna","AK"
"367","Mirror Pond Pale Ale",1210,0.05,40,455,"American Pale Ale (APA)",12,"Deschutes Brewery","Bend","OR"
"368","Weissenheimer",2550,0.052,16,58,"Hefeweizen",12,"Destihl Brewery","Bloomington","IL"
"369","Abbey's Single (2015- )",2505,0.049,22,58,"Abbey Single Ale",12,"Destihl Brewery","Bloomington","IL"
"370","Vertex IPA",2025,0.063,76,58,"American IPA",12,"Destihl Brewery","Bloomington","IL"
"371","Here Gose Nothin'",2021,0.05,12,58,"Gose",12,"Destihl Brewery","Bloomington","IL"
"372","Hoperation Overload",1888,0.096,85,58,"American Double / Imperial IPA",12,"Destihl Brewery","Bloomington","IL"
"373","Abbey's Single Ale (Current)",1887,0.049,22,58,"Abbey Single Ale",12,"Destihl Brewery","Bloomington","IL"
"374","Bravo Four Point",2051,0.044,45,238,"American Pale Ale (APA)",12,"Devil's Backbone Brewing Company","Lexington","VA"
"375","Striped Bass Pale Ale",1201,0.052,26,238,"American Pale Ale (APA)",12,"Devil's Backbone Brewing Company","Lexington","VA"
"376","Deadicated Amber",924,0.054,27,492,"American Amber / Red Ale",16,"Devil's Canyon Brewery","Belmont","CA"
"377","California Sunshine Rye IPA",730,0.071,85,492,"American IPA",16,"Devil's Canyon Brewery","Belmont","CA"
"378","Full Boar Scotch Ale",647,0.074,12,492,"Scotch Ale / Wee Heavy",16,"Devil's Canyon Brewery","Belmont","CA"
"379","Filthy Hoppin' IPA",1795,0.065,72,312,"American IPA",16,"Dirty Bucket Brewing Company","Woodinville","WA"
"380","Hop Abomination",881,0.066,100,497,"American IPA",12,"Dry Dock Brewing Company","Aurora","CO"
"381","Apricot Blonde",880,0.051,17,497,"Fruit / Vegetable Beer",12,"Dry Dock Brewing Company","Aurora","CO"
"382","Dry Dock Hefeweizen",872,0.043,12,497,"Hefeweizen",12,"Dry Dock Brewing Company","Aurora","CO"
"383","Dry Dock Amber Ale",871,0.058,49,497,"American Amber / Red Ale",12,"Dry Dock Brewing Company","Aurora","CO"
"384","Category 3 IPA",1685,0.061,64,341,"American IPA",12,"Due South Brewing Company","Boynton Beach","FL"
"385","Dundee Summer Wheat Beer",457,0.045,18,539,"American Pale Wheat Ale",12,"Dundee Brewing Company","Rochester","NY"
"386","Crank Yanker IPA",1382,0.078,74,370,"American IPA",16,"Eddyline Brewery & Restaurant","Buena Vista","CO"
"387","Crank Yanker IPA (2011)",395,0.078,74,370,"American IPA",16,"Eddyline Brewery & Restaurant","Buena Vista","CO"
"388","Dottie Seattle Lager",673,0.049,25,517,"American Amber / Red Lager",16,"Emerald City Beer Company","Seattle","WA"
"389","Little Sister India Style Session Ale",2292,0.043,60,171,"American IPA",12,"Everybody's Brewing","White Salmon","WA"
"390","Country Boy IPA",1504,0.062,80,171,"American IPA",12,"Everybody's Brewing","White Salmon","WA"
"391","Blonde Czich",2604,0.049,23,27,"American Blonde Ale",16,"Evil Czech Brewery","Mishawaka","IN"
"392","White Reaper",2432,0.07,61,27,"Belgian IPA",16,"Evil Czech Brewery","Mishawaka","IN"
"393","General George Patton Pilsner",1967,0.054,48,27,"Czech Pilsener",16,"Evil Czech Brewery","Mishawaka","IN"
"394","Iron Horse Pale Ale",1722,0.05,32,336,"American Pale Ale (APA)",12,"Fargo Brewing Company","Fargo","ND"
"395","Stone's Throw IPA",1435,0.045,19,336,"Scottish Ale",12,"Fargo Brewing Company","Fargo","ND"
"396","Wood Chipper India Pale Ale",1434,0.067,70,336,"American IPA",12,"Fargo Brewing Company","Fargo","ND"
"397","Trail Head",2089,0.063,55,225,"American Pale Ale (APA)",12,"Fat Head's Brewery","Middleburg Heights","OH"
"398","Hop Stalker Fresh Hop IPA",2088,0.07,80,225,"American IPA",16,"Fat Head's Brewery","Middleburg Heights","OH"
"399","Sudice American Stout",1455,0.07,58,406,"American Stout",16,"Fate Brewing Company","Boulder","CO"
"400","Parcae Belgian Style Pale Ale",1454,0.05,20,406,"Belgian Pale Ale",16,"Fate Brewing Company","Boulder","CO"
"401","Norns Roggenbier",1453,0.05,20,406,"Roggenbier",16,"Fate Brewing Company","Boulder","CO"
"402","Laimas Kölsch Style Ale",1452,0.05,20,406,"Kölsch",16,"Fate Brewing Company","Boulder","CO"
"403","Moirai India Pale Ale",1451,0.07,70,406,"American IPA",16,"Fate Brewing Company","Boulder","CO"
"404","Loki Red Ale",2191,0.075,53,202,"American Amber / Red Ale",16,"Fearless Brewing Company","Estacada","OR"
"405","Loki Red Ale (2013)",895,0.075,53,202,"American Amber / Red Ale",16,"Fearless Brewing Company","Estacada","OR"
"406","Second Fiddle",1929,0.082,80,173,"American Double / Imperial IPA",16,"Fiddlehead Brewing Company","Shelburne","VT"
"407","Hodad Porter",1858,0.055,30,173,"American Porter",16,"Fiddlehead Brewing Company","Shelburne","VT"
"408","Czech Yo Self",2590,0.055,45,37,"Czech Pilsener",12,"Figueroa Mountain Brewing Company","Buellton","CA"
"409","FMB 101",1968,0.048,20,37,"Kölsch",12,"Figueroa Mountain Brewing Company","Buellton","CA"
"410","Sobek & Set",1664,0.08,80,257,"American Black Ale",16,"Finch's Beer Company","Chicago","IL"
"411","Wet Hot American Wheat Ale",1662,0.05,22,257,"American Pale Wheat Ale",16,"Finch's Beer Company","Chicago","IL"
"412","Fascist Pig Ale",935,0.08,72,257,"American Amber / Red Ale",16,"Finch's Beer Company","Chicago","IL"
"413","Easy Jack",2569,0.045,47,49,"American IPA",12,"Firestone Walker Brewing Company","Paso Robles","CA"
"414","Union Jack",2463,0.075,75,49,"American IPA",12,"Firestone Walker Brewing Company","Paso Robles","CA"
"415","805",1733,0.047,20,49,"American Blonde Ale",12,"Firestone Walker Brewing Company","Paso Robles","CA"
"416","Hinchtown Hammer Down",2284,0.05,27,17,"American Blonde Ale",16,"Flat 12 Bierwerks","Indianapolis","IN"
"417","Half Cycle IPA",1610,0.06,104,17,"American IPA",16,"Flat 12 Bierwerks","Indianapolis","IN"
"418","Snake Dog IPA",608,0.071,60,522,"American IPA",12,"Flying Dog Brewery","Frederick","MD"
"419","Underdog Atlantic Lager",607,0.047,28,522,"American Pale Lager",12,"Flying Dog Brewery","Frederick","MD"
"420","Flying Mouse 4",2566,0.07,70,51,"American IPA",12,"Flying Mouse Brewery","Troutville","VA"
"421","What the Butler Saw",2111,0.05,18,218,"Witbier",12,"Forgotten Boardwalk","Cherry Hill","NJ"
"422","1916 Shore Shiver",2110,0.069,65,218,"American IPA",12,"Forgotten Boardwalk","Cherry Hill","NJ"
"423","Vortex IPA",318,0.074,97,207,"American IPA",16,"Fort George Brewery","Astoria","OR"
"424","Park",2661,0.047,19,5,"American Pale Wheat Ale",12,"Fort Point Beer Company","San Francisco","CA"
"425","Westfalia",2660,0.056,16,5,"American Amber / Red Ale",12,"Fort Point Beer Company","San Francisco","CA"
"426","KSA",2659,0.046,17,5,"Kölsch",12,"Fort Point Beer Company","San Francisco","CA"
"427","Villager",2658,0.063,42,5,"American IPA",12,"Fort Point Beer Company","San Francisco","CA"
"428","Dirty Bastard",2625,0.085,50,16,"Scotch Ale / Wee Heavy",12,"Founders Brewing Company","Grand Rapids","MI"
"429","Centennial IPA",1565,0.072,65,16,"American IPA",12,"Founders Brewing Company","Grand Rapids","MI"
"430","All Day IPA",1223,0.047,42,16,"American IPA",12,"Founders Brewing Company","Grand Rapids","MI"
"431","El Chingon IPA",1874,0.076,73,288,"American IPA",12,"Four Corners Brewing Company","Dallas","TX"
"432","Block Party Robust Porter",1873,0.057,40,288,"American Porter",12,"Four Corners Brewing Company","Dallas","TX"
"433","Local Buzz",1872,0.052,20,288,"American Blonde Ale",12,"Four Corners Brewing Company","Dallas","TX"
"434","The Gadget",2610,0.064,90,23,"American IPA",16,"Four Fathers Brewing ","Valparaiso","IN"
"435","Sunbru Kölsch",2309,0.052,17,161,"Kölsch",12,"Four Peaks Brewing Company","Tempe","AZ"
"436","Kilt Lifter Scottish-Style Ale",1635,0.06,21,161,"",12,"Four Peaks Brewing Company","Tempe","AZ"
"437","Four Peaks Peach Ale",1585,0.042,9,161,"Fruit / Vegetable Beer",12,"Four Peaks Brewing Company","Tempe","AZ"
"438","Hop Knot IPA",358,0.067,47,161,"American IPA",12,"Four Peaks Brewing Company","Tempe","AZ"
"439","Kilt Lifter Scottish-Style Ale (2009)",179,0.06,21,161,"Scottish Ale",12,"Four Peaks Brewing Company","Tempe","AZ"
"440","Suncaster Summer Wheat",2427,0.05,28,106,"American Pale Wheat Ale",12,"Four String Brewing Company","Columbus","OH"
"441","Brass Knuckle Pale Ale",2425,0.057,36,106,"American Pale Ale (APA)",12,"Four String Brewing Company","Columbus","OH"
"442","Big Star White IPA",2424,0.07,70,106,"American White IPA",12,"Four String Brewing Company","Columbus","OH"
"443","Batch 69 IPA",1556,0.069,69,254,"American IPA",12,"Frankenmuth Brewery","Frankenmuth","MI"
"444","Twisted Helles Summer Lager",1208,0.055,18,254,"Munich Helles Lager",12,"Frankenmuth Brewery","Frankenmuth","MI"
"445","OktoberFiesta",2527,0.053,27,67,"",12,"Freetail Brewing Company","San Antonio","TX"
"446","Texicali ",2526,0.065,33,67,"American Brown Ale",12,"Freetail Brewing Company","San Antonio","TX"
"447","Bat Outta Helles",2524,0.042,20,67,"Munich Helles Lager",12,"Freetail Brewing Company","San Antonio","TX"
"448","Rye Wit",2522,0.042,10,67,"Witbier",12,"Freetail Brewing Company","San Antonio","TX"
"449","Soul Doubt",2521,0.059,70,67,"American IPA",12,"Freetail Brewing Company","San Antonio","TX"
"450","Yo Soy Un Berliner",2520,0.044,5,67,"Berliner Weissbier",12,"Freetail Brewing Company","San Antonio","TX"
"451","Harvest Ale",901,0.065,35,461,"Saison / Farmhouse Ale",12,"Fremont Brewing Company","Seattle","WA"
"452","Fremont Summer Ale",875,0.065,45,461,"American Pale Ale (APA)",12,"Fremont Brewing Company","Seattle","WA"
"453","Universale Pale Ale",858,0.056,30,461,"American Pale Ale (APA)",12,"Fremont Brewing Company","Seattle","WA"
"454","Interurban IPA",857,0.065,80,461,"American IPA",12,"Fremont Brewing Company","Seattle","WA"
"455","Gateway Kolsch Style Ale",1300,0.053,32,434,"Kölsch",12,"French Broad Brewery","Asheville","NC"
"456","Wee-Heavy-Er Scotch Ale",1260,0.07,24,434,"Scotch Ale / Wee Heavy",12,"French Broad Brewery","Asheville","NC"
"457","13 Rebels ESB",1259,0.052,42,434,"Extra Special / Strong Bitter (ESB)",12,"French Broad Brewery","Asheville","NC"
"458","Salamander Slam",2254,0.07,73,181,"American IPA",16,"Frog Level Brewing Company","Waynesville","NC"
"459","No Wake IPA",2077,0.072,50,229,"American IPA",12,"Geneva Lake Brewing Company","Lake Geneva","WI"
"460","Boathouse Blonde",2076,0.049,15,229,"American Blonde Ale",12,"Geneva Lake Brewing Company","Lake Geneva","WI"
"461","Cedar Point",2075,0.05,26,229,"American Amber / Red Ale",12,"Geneva Lake Brewing Company","Lake Geneva","WI"
"462","Clean Shave IPA",2426,0.067,70,107,"American IPA",12,"Glabrous Brewing Company","Pineland","ME"
"463","Might As Well IPL",2045,0.072,75,241,"American Pale Lager",16,"Golden Road Brewing","Los Angeles","CA"
"464","Saison Pamplemousse",1960,0.058,35,241,"Saison / Farmhouse Ale",12,"Golden Road Brewing","Los Angeles","CA"
"465","2020 IPA",1777,0.074,74,241,"American IPA",16,"Golden Road Brewing","Los Angeles","CA"
"466","Wolf Among Weeds IPA",1698,0.08,70,241,"American IPA",16,"Golden Road Brewing","Los Angeles","CA"
"467","Better Weather IPA",1641,0.094,92,241,"American IPA",16,"Golden Road Brewing","Los Angeles","CA"
"468","Point the Way IPA",1490,0.059,60,241,"American IPA",16,"Golden Road Brewing","Los Angeles","CA"
"469","Golden Road Hefeweizen",1489,0.046,15,241,"Hefeweizen",16,"Golden Road Brewing","Los Angeles","CA"
"470","Heal the Bay IPA",1399,0.068,65,241,"American IPA",16,"Golden Road Brewing","Los Angeles","CA"
"471","Point the Way IPA",1296,0.059,60,241,"American IPA",12,"Golden Road Brewing","Los Angeles","CA"
"472","Get Up Offa That Brown",991,0.055,20,241,"American Brown Ale",16,"Golden Road Brewing","Los Angeles","CA"
"473","Burning Bush Smoked IPA",750,0.08,70,241,"American IPA",16,"Golden Road Brewing","Los Angeles","CA"
"474","Wolf Among Weeds IPA (2012)",749,0.08,70,241,"American IPA",16,"Golden Road Brewing","Los Angeles","CA"
"475","Point the Way IPA (2012)",549,0.059,60,241,"American IPA",16,"Golden Road Brewing","Los Angeles","CA"
"476","Golden Road Hefeweizen (2012)",548,0.046,15,241,"Hefeweizen",16,"Golden Road Brewing","Los Angeles","CA"
"477","Vanilla Porter",2587,0.07,11,40,"American Porter",16,"Gonzo's BiggDogg Brewing","Kalamazoo","MI"
